std_sample_name	gse_id	organism	bio_rep	antibody_target	restriction_enzyme	sample_name
A673-siCT-Dh1-72h-D347.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	Homo_Sapiens	1	CTCF	MboI	A673-siCT-Dh1-72h-D347
A673-siCT-Dh1-72h-D347.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	Homo_Sapiens	2	CTCF	MboI	A673-siCT-Dh1-72h-D347
A673-siCT-Dh1-72h-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	Homo_Sapiens	1	CTCF	MboI	A673-siCT-Dh1-72h-D362
A673-siCT-Dh1-72h-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	Homo_Sapiens	2	CTCF	MboI	A673-siCT-Dh1-72h-D362
A673-siSA2-Dh6-72h-D347.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	Homo_Sapiens	1	CTCF	MboI	A673-siSA2-Dh6-72h-D347
A673-siSA2-Dh6-72h-D347.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	Homo_Sapiens	2	CTCF	MboI	A673-siSA2-Dh6-72h-D347
A673-siSA2-Dh6-72h-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	Homo_Sapiens	1	CTCF	MboI	A673-siSA2-Dh6-72h-D362
A673-siSA2-Dh6-72h-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	Homo_Sapiens	2	CTCF	MboI	A673-siSA2-Dh6-72h-D362
A673-siSA2-Dh8-72h-D347.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	Homo_Sapiens	1	CTCF	MboI	A673-siSA2-Dh8-72h-D347
A673-siSA2-Dh8-72h-D347.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	Homo_Sapiens	2	CTCF	MboI	A673-siSA2-Dh8-72h-D347
A673-siSA2-Dh8-72h-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	Homo_Sapiens	1	CTCF	MboI	A673-siSA2-Dh8-72h-D362
A673-siSA2-Dh8-72h-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	Homo_Sapiens	2	CTCF	MboI	A673-siSA2-Dh8-72h-D362
